#,Team,Div,Elo,Pts,Gin7,Pin7,Tin7,Gin30,Pin30,Tin30,GinS,PinS,TinS
1,Nashville Predators,CEN,2421.18,104,2,3,107,11,18,122,11,18,122
2,Tampa Bay Lightning,ATL,2305.49,100,4,6,106,12,17,117,12,17,117
3,Boston Bruins,ATL,2294.51,96,4,5,101,13,16,112,13,16,112
4,Vegas Golden Knights,PAC,2202.99,95,4,5,100,11,14,109,11,14,109
5,Winnipeg Jets,CEN,2283.63,94,3,4,98,11,15,109,11,15,109
6,Toronto Maple Leafs,ATL,2308.86,91,3,4,95,11,16,107,11,16,107
7,Pittsburgh Penguins,MET,2300.09,87,3,5,92,10,16,103,10,16,103
8,Washington Capitals,MET,2227.04,87,3,4,91,11,14,101,11,14,101
9,San Jose Sharks,PAC,2220.30,87,4,5,92,11,13,100,11,13,100
10,Colorado Avalanche,CEN,2246.39,84,4,6,90,11,15,99,11,15,99
11,Minnesota Wild,CEN,2252.83,87,2,3,90,11,12,99,11,12,99
12,Florida Panthers,ATL,2318.74,77,4,6,83,14,20,97,14,20,97
13,Anaheim Ducks,PAC,2232.69,84,3,4,88,10,12,96,10,12,96
14,Columbus Blue Jackets,MET,2262.22,81,4,5,86,11,15,96,11,15,96
15,Los Angeles Kings,PAC,2194.09,84,4,4,88,11,11,95,11,11,95
16,Dallas Stars,CEN,2194.05,83,3,3,86,10,11,94,10,11,94
17,New Jersey Devils,MET,2208.03,80,4,4,84,12,13,93,12,13,93
18,Philadelphia Flyers,MET,2170.04,81,4,5,86,11,12,93,11,12,93
19,St. Louis Blues,CEN,2153.44,79,4,5,84,12,12,91,12,12,91
20,Calgary Flames,PAC,2141.95,80,4,4,84,10,9,89,10,9,89
21,New York Rangers,MET,2143.81,71,3,3,74,11,11,82,11,11,82
22,Carolina Hurricanes,MET,2090.42,71,4,4,75,12,10,81,12,10,81
23,New York Islanders,MET,2067.72,70,3,2,72,11,8,78,11,8,78
24,Edmonton Oilers,PAC,2161.98,65,4,4,69,12,13,78,12,13,78
25,Chicago Blackhawks,CEN,2099.34,68,4,4,72,11,9,77,11,9,77
26,Ottawa Senators,ATL,2156.70,61,3,2,63,12,12,73,12,12,73
27,Montreal Canadiens,ATL,2107.87,64,4,2,66,11,8,72,11,8,72
28,Arizona Coyotes,PAC,2210.80,57,4,5,62,12,14,71,12,14,71
29,Detroit Red Wings,ATL,2028.64,63,3,2,65,11,7,70,11,7,70
30,Buffalo Sabres,ATL,2164.58,56,4,4,60,12,11,67,12,11,67
31,Vancouver Canucks,PAC,2021.61,59,4,3,62,11,7,66,11,7,6